id,parent-id,lead-project,title,grant-reference
1,,1,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028858/1
2,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028653/1
3,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028696/1
4,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028769/1
5,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028297/1
6,,1,Arctic Predictability and Prediction On Seasonal to Inter-annual Timescales,NE/I029447/1
7,6,0,Arctic Predictability and Prediction On Seasonal to Inter-annual Timescales,NE/I029137/1
8,,1,Carbon Cycling Linkages of Permafrost Sysems,NE/K000292/1
9,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K000179/1
10,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K00025X/1
11,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K000241/1
12,,1,Lakes and the Arctic Carbon Cycle,NE/K000349/1
13,12,0,Lakes and the Arctic Carbon Cycle,NE/K000233/1
14,12,0,Lakes and the Arctic Carbon Cycle,NE/K000276/1
15,,1,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I029161/1
16,15,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I029293/1
17,15,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I028327/1
18,15,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I028874/1
19,15,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I02934X/1
20,,1,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000284/1
21,20,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets, NE/K000217/1
22,20,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000268/1
23,20,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000225/1
24,20,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000217/2
25,20,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000284/2
26,,0,Submarine Estimates of Arctic Turbulance Spectra ,NE/I028408/1
27,,1,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028947/1
28,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029439/1
29,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028831/1
30,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028939/1
31,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I02867X/1
32,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice", NE/I029072/1
33,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029633/1
34,27,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029226/1
35,,1,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K00008X/1
36,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K00008X/2
37,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000152/1
38,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000160/1
39,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000063/1
40,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000055/2
41,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000144/2
42,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000136/1
43,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000187/1
44,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000144/1
45,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000055/1
46,35,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000047/1
47,,0,Advective pathways of nutrients and key ecological substances in the Arctic ,NE/R012865/1
48,,1,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006302/1
49,48,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006086/1
50,48,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006078/1
51,48,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P00573X/1
52,48,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P005721/1
53,48,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006507/1
54,,1,Can we detect changes in Arctic ecosystems?,NE/P006035/1
